inserted_at,platform_name,delivery_platform,delivery_tracking_number,order_id,order_no,external_order_no,shipping_label
2024-04-23 09:43:37,Shopee,Giao Hàng Nhanh,G8PG68DW,16033053,SPEJNJ-240423GDTCSH56,SPEJNJ-240423GDTCSH56,https://files.onpoint.vn/order/2024/04/23/8667622583DPU5VDOSZ6WXHZCTZ2TVI2R_shipping_label.pdf
2024-04-23 09:00:35,Shopee,SPX Express,SPXVN047044006034,16032662,SPEJNJ-240423GBDEC0XM,SPEJNJ-240423GBDEC0XM,https://files.onpoint.vn/order/2024/04/23/186944553CHTZMV3YV3LHV65J6BLEOXJX_shipping_label.pdf
2024-04-23 08:36:21,Shopee,Giao Hàng Nhanh,G8PG9QNK,16032417,SPECSC-240423GA23PYAJ,SPECSC-240423GA23PYAJ,https://files.onpoint.vn/order/2024/04/23/564670386653DV52GSC4MIUGVPFBD6DIU_shipping_label.pdf
2024-04-23 08:18:55,Shopee,Giao Hàng Nhanh,G8PG9PX4,16032195,SPECSC-240423G92X6K4G,SPECSC-240423G92X6K4G,https://files.onpoint.vn/order/2024/04/23/880582407EVCOFD4QWZLA74KOHALEFHSP_shipping_label.pdf
2024-04-23 07:28:44,Shopee,Giao Hàng Nhanh,G8PG7HWG,16031437,SPEUIM-240423G697MDT4,SPEUIM-240423G697MDT4,https://files.onpoint.vn/order/2024/04/23/110110470ISBXFYJZYNJEW7CQEVD6WQFP_shipping_label.pdf
2024-04-23 07:27:52,Shopee,SPX Express,SPXVN044459707904,16031424,SPECSC-240423G67P08R9,SPECSC-240423G67P08R9,https://files.onpoint.vn/order/2024/04/23/455593285TEIGEGJTPDH7FCHCJOSAQWCW_shipping_label.pdf
2024-04-23 07:27:49,Shopee,Giao Hàng Nhanh,G8PG7DRW,16031423,SPEUIM-240423G67J5SD7,SPEUIM-240423G67J5SD7,https://files.onpoint.vn/order/2024/04/23/468900290AGLHITZ5TEDLZRIPMDUDYF3J_shipping_label.pdf
2024-04-23 07:16:01,Shopee,SPX Express,SPXVN045366486564,16031103,SPEUIM-240423G5JF218S,SPEUIM-240423G5JF218S,https://files.onpoint.vn/order/2024/04/23/396475324WE7AFEXKYO3O5ZFYI7FXEAR6_shipping_label.pdf
2024-04-23 06:07:51,Shopee,SPX Express,SPXVN048760444254,16030084,SPETHM-240423G1RJGVVW,SPETHM-240423G1RJGVVW,https://files.onpoint.vn/order/2024/04/23/298926567HOCUHXYWSQQL4MMTDXGXTZFE_shipping_label.pdf
2024-04-22 17:08:41,Shopee,Giao Hàng Nhanh,G8P74M7R,16017702,SPESDP-240423EP7B6311,SPESDP-240423EP7B6311,https://files.onpoint.vn/order/2024/04/23/472567922K2BFK4TTVK6MLHY4IFHMRQ25_shipping_label.pdf
